listing_id,description,room_type,price,nbhood_full,host_name,last_review,month,price_per_month
20934056,"Beautiful, spacious apartment in Brooklyn",private room,137,"Brooklyn, Kensington",Awilda,2019-01-02,1,4178.5
20934059,"Huge historical 1 bedroom in South Park Slope, BK",entire home/apt,150,"Brooklyn, Sunset Park",Derek,2019-04-07,4,4575.0
20935059,Spacious bedroom in Artist's Apartment-Atelier,private room,120,"Manhattan, Lower East Side",Nastya,2019-06-29,6,3660.0
20941086,"Luxury High-Rise, Floor-Ceiling Windows, Balcony",entire home/apt,435,"Manhattan, Murray Hill",Billy,2019-05-06,5,13267.5
20941726,Cozy and comfy apartment in Sunset-Newly renovated,entire home/apt,150,"Brooklyn, Sunset Park",Men Yee,2019-07-02,7,4575.0
20942129,Huge Bedroom with Private bath - Close to Subway,private room,69,"Brooklyn, Bath Beach",Dylan,2019-06-24,6,2104.5
20942352,Private Room in Astoria minutes to NYC,private room,47,"Queens, Ditmars Steinway",Mayra,2019-05-13,5,1433.5
20947437,UES Renovated Safe Location,entire home/apt,148,"Manhattan, Upper East Side",Marvin,2019-06-17,6,4514.0
20956802,Private cozy and large room(103),private room,55,"Queens, Flushing",Wenqin,2019-05-26,5,1677.5
20957575,Private Room in East Village  *FEMALE Guests only*,private room,85,"Manhattan, East Village",Laura,2019-06-13,6,2592.5
20958075,Washington Park,entire home/apt,131,"Brooklyn, Fort Greene",Nina,2019-07-01,7,3995.5
20958399,Elegant 1 BR with amazing view in Park Slope,entire home/apt,169,"Brooklyn, Park Slope",Sasha,2019-03-17,3,5154.5
20958738,Tastetic,private room,58,"Brooklyn, East Flatbush",Jotham,2019-04-12,4,1769.0
20960110,Arthur Ave 2BDR sleeps 6! (15 mins from Manhattan),entire home/apt,140,"Bronx, Belmont",Nihad,2019-06-23,6,4270.0
20960203,The Blue House in Ft Greene,entire home/apt,200,"Brooklyn, Fort Greene",Tony,2019-06-22,6,6100.0
20960223,Private room with private bathroom,private room,120,"Brooklyn, Bedford-Stuyvesant",Ghislain Serge,2019-06-22,6,3660.0
20961894,Californiacation Studio with Garden in Bushwick,entire home/apt,120,"Brooklyn, Bushwick",Arina,2019-01-09,1,3660.0
20964409,Little Slice of Brooklyn!,private room,45,"Brooklyn, Flatbush",Nikki,2019-06-30,6,1372.5
20968166,Shay's Place #2 ( Studio Apt. ) 5 mins from JFK,entire home/apt,90,"Queens, Springfield Gardens",Sheila,2019-06-23,6,2745.0
20969370,Gorgeous One Bedroom in Clinton Hill,entire home/apt,134,"Brooklyn, Clinton Hill",Lilja,2019-05-15,5,4087.0
20969532,Bright & Large Open Studio 15 Min To Manhattan,entire home/apt,99,"Queens, Sunnyside",Elan,2019-05-01,5,3019.5
20970380,★ Cosy room in Brooklyn ★ 20-min to Manhattan,private room,80,"Brooklyn, Bushwick",Marlice,2019-06-22,6,2440.0
20970422,★Bushwick Charming Room★ Great for Solo Travellers,private room,45,"Brooklyn, Bushwick",Marlice,2019-06-24,6,1372.5
20970437,★Luminous and vivid room in NYC★,private room,110,"Brooklyn, Bushwick",Marlice,2019-06-23,6,3355.0
20970588,"Best Artist's fun loft in Williamsburg, mins 2 NYC",entire home/apt,139,"Brooklyn, Williamsburg",Leonor And Luca,2019-05-31,5,4239.5
20970822,Pet & Tony's Residence,entire home/apt,120,"Brooklyn, East Flatbush",Petra,2019-07-04,7,3660.0
20971442,Cosy & chic room in luxury hi-rise at Times Square,private room,110,"Manhattan, Theater District",Nish,2019-01-14,1,3355.0
20973084,Private room in Upper Manhattan near City College.,private room,38,"Manhattan, Harlem",Cleber,2019-05-26,5,1159.0
20975327,Spacious Bedroom near Prospect Park,private room,100,"Brooklyn, Kensington",Sonya,2019-06-30,6,3050.0
20978416,Big 1 bedrm St Marks Apt,entire home/apt,199,"Manhattan, East Village",Petko,2019-06-23,6,6069.5
20979453,Midtown East Sunny Studio Apartment,entire home/apt,195,"Manhattan, Kips Bay",Glenn Thomas,2019-06-14,6,5947.5
20981267,*Private-Comfortable space 2 min from train,private room,52,"Brooklyn, Bushwick",Linda,2019-06-30,6,1586.0
20981701,BROOKLYN'S BROWNSTONE SPECIAL BUDGET IN NYC :),private room,75,"Brooklyn, Bushwick",Majar,2019-01-02,1,2287.5
20981916,LONG TERM 3 BEDROOMS APARTMENT BROOKLYN NYC,entire home/apt,99,"Brooklyn, Bedford-Stuyvesant",Martin,2019-03-24,3,3019.5
20981954,"Massive, airy room with balcony in Crown Heights",private room,55,"Brooklyn, Crown Heights",Max,2019-03-29,3,1677.5
20982002,Bright Spacious Room in BedStuy - 20min from City,private room,90,"Brooklyn, Bedford-Stuyvesant",Paula,2019-06-30,6,2745.0
20982422,'Fan'tastic,private room,59,"Brooklyn, East Flatbush",Jotham,2019-06-01,6,1799.5
20982564,Söderläge - Spacious full bedroom in Williamsburg,private room,99,"Brooklyn, Williamsburg",Glenn,2019-04-27,4,3019.5
20982704,Home Away From Home -3,entire home/apt,160,"Brooklyn, East New York",Karen,2019-06-06,6,4880.0
20982734,"Spacious, Modern Uptown Getaway with Balcony",entire home/apt,250,"Manhattan, East Harlem",Wakahiu,2019-04-24,4,7625.0
20982862,Spacious NYC Duplex- 1 Bedroom & 2 Bathrooms,entire home/apt,150,"Queens, Elmhurst",Ant,2019-01-01,1,4575.0
20983663,Brooklyn's Cozy Jewel II,entire home/apt,149,"Brooklyn, Crown Heights",Faith,2019-06-17,6,4544.5
20984142,HEART OF BUSHWICK,private room,60,"Brooklyn, Bushwick",Patrick,2019-05-22,5,1830.0
20989220,Lovely Young Apt    Close to JFK & LGA,entire home/apt,99,"Queens, Flushing",Thomas,2019-07-08,7,3019.5
20989659,LUXURY MURRAY HILL EAST 34TH~1BR,entire home/apt,225,"Manhattan, Murray Hill",Ruchi,2019-06-23,6,6862.5
